essential,gene
False,RT_8859
False,RT_9428
False,RT_8962
False,RT_14788
False,RT_12605
False,RT_11160
False,RT_16202
False,RT_14805
False,RT_11649
False,RT_12748
False,RT_16018
False,RT_15070
False,RT_10812
False,RT_12354
False,RT_15856
False,RT_11647
False,RT_15748
False,RT_13044
False,RT_8781
False,RT_16659
False,RT_8766
False,RT_9841
False,RT_10197
False,RT_9457
False,RT_13900
False,RT_13700
False,RT_11525
False,RT_9912
False,RT_14610
False,RT_11650
False,RT_ATP8
False,RT_16732
False,RT_15758
False,RT_15713
False,RT_13510
False,RT_13986
False,RT_16453
False,RT_9644
False,RT_11341
False,RT_14914
False,RT_8631
False,RT_12596
False,RT_14623
False,RT_8569
False,RT_9322
False,RT_12248
False,RT_11050
False,RT_12151
False,RT_10572
False,RT_13609
False,RT_10985
False,RT_9981
False,RT_15681
False,RT_9267
False,RT_13935
False,RT_8441
False,RT_15159
False,RT_11317
False,RT_10647
False,RT_15911
False,RT_13265
False,RT_15218
False,RT_10316
False,RT_11229
False,RT_9995
False,RT_15730
False,RT_8943
False,RT_10540
False,RT_14844
False,RT_11172
False,RT_11769
False,RT_11777
False,RT_12513
False,RT_14002
False,RT_16016
False,RT_11103
False,RT_15129
False,RT_15328
False,RT_13722
False,RT_11989
False,RT_14934
False,RT_13423
False,RT_13856
False,RT_8863
False,RT_11534
False,RT_12730
False,RT_15773
False,RT_11203
False,RT_11410
False,RT_16552
False,RT_11665
False,RT_12553
False,RT_11208
False,RT_14129
False,RT_12950
False,RT_15092
False,RT_10010
False,RT_14014
False,RT_16330
False,RT_9923
False,RT_10038
False,RT_15133
False,RT_8901
False,RT_15744
False,RT_12385
False,RT_13383
False,RT_14036
False,RT_12637
False,RT_10095
False,RT_10558
False,RT_15180
False,RT_9634
False,RT_8988
False,RT_16415
False,RT_16019
False,RT_15963
False,RT_15248
False,RT_15880
False,RT_9469
False,RT_14839
False,RT_13090
False,RT_13559
False,RT_14950
False,RT_9772
False,RT_15339
False,RT_15584
False,RT_12269
False,RT_15905
False,RT_15555
False,RT_15066
False,RT_9520
False,RT_10614
False,RT_12778
False,RT_16646
False,RT_9050
False,RT_15007
False,RT_8692
False,RT_12476
False,RT_14317
False,RT_11266
False,RT_9596
False,RT_9093
False,RT_14886
False,RT_11716
False,RT_10452
False,RT_15188
False,RT_13302
False,RT_NAD1
False,RT_8790
False,RT_15426
False,RT_13637
False,RT_13840
False,RT_12407
False,RT_15074
False,RT_13595
False,RT_9708
False,RT_16505
False,RT_9102
False,RT_12445
False,RT_12974
False,RT_9837
False,RT_16253
False,RT_16477
False,RT_13813
False,RT_8693
False,RT_11802
False,RT_9990
False,RT_13562
False,RT_10427
False,RT_11343
False,RT_13264
False,RT_13382
False,RT_15736
False,RT_16655
False,RT_14698
False,RT_15038
False,RT_14022
False,RT_15839
False,RT_12846
False,RT_13128
False,RT_10212
False,RT_12562
False,RT_13539
False,RT_9222
False,RT_12898
False,RT_14281
False,RT_10989
False,RT_16275
False,RT_10937
False,RT_15746
False,RT_10475
False,RT_9425
False,RT_8530
False,RT_14158
False,RT_14070
False,RT_8580
False,RT_8932
False,RT_14369
False,RT_16635
False,RT_15095
False,RT_15694
False,RT_9734
False,RT_8635
False,RT_8666
False,RT_11787
False,RT_9763
False,RT_15791
False,RT_9438
False,RT_16258
False,RT_11011
False,RT_16187
False,RT_15240
False,RT_9244
False,RT_COX2
False,RT_14638
False,RT_12086
False,RT_12646
False,RT_10017
False,RT_12740
False,RT_8747
False,RT_13894
False,RT_13690
False,RT_8725
False,RT_15340
False,RT_11739
False,RT_11804
False,RT_12742
False,RT_11646
False,RT_13161
False,RT_10277
False,RT_NAD3
False,RT_13486
False,RT_10885
False,RT_14743
False,RT_14132
False,RT_10292
False,RT_13275
False,RT_13669
False,RT_9938
False,RT_13208
False,RT_12752
False,RT_13445
False,RT_14055
False,RT_9434
False,RT_11039
False,RT_11216
False,RT_12867
False,RT_11418
False,RT_13627
False,RT_9495
False,RT_10331
False,RT_9377
False,RT_12482
False,RT_11882
False,RT_16648
False,RT_10577
False,RT_9216
False,RT_9962
False,RT_13959
False,RT_8434
False,RT_13042
False,RT_13582
False,RT_16511
False,RT_13656
False,RT_15923
False,RT_12566
False,RT_12221
False,RT_8633
False,RT_9959
False,RT_15086
False,RT_12623
False,RT_COX3
False,RT_14309
False,RT_13287
False,RT_9825
False,RT_13082
False,RT_8819
False,RT_ATP6
False,RT_15276
False,RT_10251
False,RT_10393
False,RT_14139
False,RT_11543
False,RT_13228
False,RT_16717
False,RT_16345
False,RT_11420
False,RT_9435
False,RT_13987
False,RT_9635
False,RT_11463
False,RT_13857
False,RT_11618
False,RT_10607
False,RT_12923
False,RT_8548
False,RT_COX1
False,RT_11047
False,RT_12042
False,RT_8616
False,RT_9636
False,RT_13385
False,RT_16736
False,RT_16273
False,RT_11686
False,RT_15488
False,RT_16485
False,RT_10043
False,RT_9015
False,RT_16462
False,RT_11871
False,RT_12061
False,RT_15939
False,RT_15430
False,RT_10953
False,RT_16213
False,RT_13614
False,RT_11623
False,RT_15435
False,RT_15762
False,RT_11873
False,RT_16011
False,RT_16046
False,RT_13369
False,RT_9857
False,RT_13413
False,RT_14942
False,RT_15423
False,RT_14821
False,RT_13172
False,RT_14908
False,RT_12977
False,RT_14600
False,RT_8399
False,RT_13757
False,RT_10276
False,RT_9688
False,RT_14724
False,RT_8936
False,RT_8618
False,RT_13143
False,RT_16324
False,RT_8540
False,RT_10570
False,RT_12155
False,RT_11137
False,RT_12989
False,RT_10218
False,RT_12902
False,RT_16323
False,RT_10497
False,RT_11136
False,RT_13554
False,RT_15845
False,RT_16515
False,RT_10156
False,RT_12743
False,RT_COB
False,RT_13734
False,RT_9165
False,RT_10104
False,RT_13328
False,RT_12219
False,RT_8853
False,RT_15982
False,RT_16725
False,RT_16281
False,RT_13709
False,RT_NAD4
False,RT_11793
False,RT_8518
False,RT_14826
False,RT_14241
False,RT_8768
False,RT_12971
False,RT_12620
False,RT_9619
False,RT_15962
False,RT_10869
False,RT_16241
False,RT_11740
False,RT_9014
False,RT_10677
False,RT_8608
False,RT_8900
False,RT_9771
False,RT_10220
False,RT_16048
False,RT_12410
False,RT_14463
False,RT_COPII
False,RT_11075
False,RT_11909
False,RT_11188
False,RT_15807
False,RT_NAD5
False,RT_14109
False,RT_16503
False,RT_15483
False,RT_15342
False,RT_12594
False,RT_11884
False,RT_10456
False,RT_14111
False,RT_9278
False,RT_9711
False,RT_12031
False,RT_16030
False,RT_15874
False,RT_9637
False,RT_13580
False,RT_14461
False,RT_10170
False,RT_13175
False,RT_8678
False,RT_10184
False,RT_11469
False,RT_9829
False,RT_15909
False,RT_13606
False,RT_10428
False,RT_10069
False,RT_8972
False,RT_8589
False,RT_10308
False,RT_14245
False,RT_15418
False,RT_11837
False,RT_16193
False,RT_13834
False,RT_8759
False,RT_8443
False,RT_13272
False,RT_12761
False,RT_13524
False,RT_11272
False,RT_9354
False,RT_9135
False,RT_15436
False,RT_10304
False,RT_13167
False,RT_9291
False,RT_11642
False,RT_10379
False,RT_8959
False,RT_10705
False,RT_10408
False,RT_11351
False,RT_11513
False,RT_16266
False,RT_8385
False,RT_9315
False,RT_11205
False,RT_10264
False,RT_11455
False,RT_14229
False,RT_12034
False,RT_11036
False,RT_11982
False,RT_12690
False,RT_14480
False,RT_15121
False,RT_16228
True,RT_10845
True,RT_10330
True,RT_8845
True,RT_13060
True,RT_11145
True,RT_10173
True,RT_10000
True,RT_11052
True,RT_10332
True,RT_10716
True,RT_15984
True,RT_13394
True,RT_9622
True,RT_11064
True,RT_13252
True,RT_10753
True,RT_15721
True,RT_11331
True,RT_12123
True,RT_9748
True,RT_15404
True,RT_10144
True,RT_9929
True,RT_13268
